Tên Công Việc,Tên Công Ty,Lương,Địa Điểm,Hình Ảnh
Tư Vấn Tuyển Sinh / Nhân Viên Kinh Doanh/ Sale Giáo Dục (Bình Dương),CÔNG TY CỔ PHẦN QUỐC TẾ ANH VĂN HỘI VIỆT MỸ,8 - 12 triệu,Bình Dương,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-quoc-te-anh-van-hoi-viet-my-e0d439adc2703dcefe8a18361a7438e1-6462eeed6fb8f.jpg
Nhân Viên Sale B2B Lĩnh Vực Tem Nhãn Doanh Nghiệp Tại Hà Nội Và HCM (Thu Nhập Từ 10Tr Trở Lên),CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI AAA VIỆT NAM,10 - 20 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-dau-tu-va-thuong-mai-aaa-viet-nam-5e6a1d658c0da.jpg
Chuyên Viên Phát Triển Kinh Doanh B2B (Lương Cứng 10 Triệu + Hoa Hồng Không Giới Hạn),CÔNG TY TNHH ALIBABA.COM (VIỆT NAM),10 - 30 triệu,Đồng Nai & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-alibabacom-viet-nam-c0bb32ea63e7bd3382cc1bcf7928be6c-64cb7c2f0c2d7.jpg
"Chuyên Viên Lập Trình- Thu Nhập Hấp Dẫn - Nghỉ Thứ 7, Chủ Nhật - Tại Hà Nội",CÔNG TY DỊCH VỤ MOBIFONE KHU VỰC 1 - CHI NHÁNH TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-dich-vu-mobifone-khu-vuc-1-chi-nhanh-tong-cong-ty-vien-thong-mobifone-620397a8e7024.jpg
Nhân Viên Trực Fanpage - Thu Nhập 8 - 20 Triệu,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI HOA ƯU ĐÀM,Tới 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/8f5a4d8dceaeb93d56696fb298f2c7f0-64aba2a21037d.jpg
Chuyên Viên Quan Hệ Khách Hàng Ngân Hàng Shinhan (CN Tân Bình + Bình Thạnh),Ngân Hàng TNHH MTV Shinhan Việt Nam,9.1 - 20 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-tnhh-mtv-shinhan-viet-nam-5bf7ac614caf6_rs.jpg
Nhân Viên Photoshop Chỉnh Sửa Ảnh Tại Huế (Có Thể Làm Việc Online),Công ty TNHH CubiCasa Việt Nam - Chi nhánh Thừa Thiên Huế,Thoả thuận,Thừa Thiên Huế,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-cubicasa-viet-nam-chi-nhanh-thua-thien-hue-63f5c516cf809.jpg
Nhân Viên Kinh Doanh /Sales Ngành Mỹ Phẩm ( Lương Cứng: 10tr - 15tr/Th + % HH),CÔNG TY TNHH QUỐC TẾ PA MEDIA,10 - 100 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-quoc-te-pa-media-6336b6df61864.jpg
Nhân Viên Bán Hàng Showroom - Lương Hấp Dẫn Lên Đến 15tr/Tháng,CÔNG TY TNHH VIETNAM PREMIUM PRODUCTS TRADING,7 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/QMQRGATIVCb93wSSx2JgvzDe8MwFflMn_1690969543____e5cf2197e7234e717ca5054800628fdd.png
"TOP
Chuyên Viên Giáo Vụ/Chăm Sóc Học Viên/Quản Lý Học Tập ( Kinh Nghiệm Giáo Vụ/Chăm Sóc Khách Hàng/Giáo Viên Chủ Nhiệm Gia Sư/Trợ Giảng Tiếng Anh)",EDUPIA,8 - 13 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/edupia-738d242f1fe18d4bbd6e7dc01d9b31c1-6594db35ebfd5.jpg
Nhân Viên Kinh Doanh / Nhân Viên Tư Vấn / Sales/ Chăm Sóc Khách Hàng (Thu Nhập 10 Triệu - 25 Triệu) - Data Sẵn - Không Yêu Cầu Kinh Nghiệm,CÔNG TY TNHH NHA KHOA BẢO CHÂU,10 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-nha-khoa-bao-chau-5f880fdc93602.jpg
Chuyên Viên Kinh Doanh Tín Dụng Cá Nhân (Không Yêu Cầu Kinh Nghiệm Trong Ngành Ngân Hàng) Thu Nhập Lên Đến 20 Triệu,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),18 - 20 triệu,Thanh Hoá,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/ngan-hang-tmcp-viet-nam-thinh-vuong-vpbank-339071d7b45cb2682bd92cc278d7abb3-66a8bf72c65f2.jpg
Business Analyst Tại Hà Nội_Thanh Hóa Thu Nhập 10- 15 Triệu,Công ty TNHH Pancake Việt Nam,10 - 15 triệu,"Thanh Hoá, Hà Nội",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/1DjU82KZZsjcWtmYZhXlnc68LHd9VRcL_1696478820____eae53d215c787a967d52d4f6657d5c86.png
Chuyên Viên Kinh Doanh - Yêu Cầu Từ 22-35 Tuổi,NOUS BY SUNLIFE,12 - 35 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/nous-by-sunlife-98f4d82c65ac1151c196c29754f47160-6629c1a2f30b1.jpg
Giảng Viên Truyền Thông_FPTU - Tại Hồ Chí Minh - Thu Nhập Hấp Dẫn,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
"HOT
Nhân Viên Kinh Doanh Kiêm Đại Lý Bán Hàng (Lương Cơ Bản Từ 15 Triệu, Thu Nhập Không Giới Hạn)",CÔNG TY CP ĐÁ THẠCH ANH KHANG MINH,30 - 50 triệu,Hà Nội & 20 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/2ogWqrRDg9Ns71bnbW55ryeiYMxBPpgk_1715396553____56e055b7ebfce06791718a0007cbf511.jpg
Nhân Viên Kinh Doanh,CÔNG TY TNHH ĐỆ NHẤT NHÂN SỰ VIỆT NAM,8.1 - 10 triệu,Hà Nội & 2 nơi khác,https://www.topcv.vn/v4/image/normal-company/logo_default.png
"TOP
Chuyên Viên Content Marketing - Thử Việc 100% Lương - Thu Nhập Tới 20 Triệu",VUIHOC.vn,Tới 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/mUyofsckMXP3yzizOUHPwHfY8D59Yttp_1687234000____832d24e7c60703094b8d0922161d91a7.png
"GẤP
Thiết Kế Kiến Trúc - Nhà Dân Dụng ( 15- 25 Triệu)",Công ty Cổ Phần Đầu tư và Xây Dựng Chất Uy,15 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-va-xay-dung-chat-uy-f488f7029e8276a589b94fc5b1670c15-66aa1a61af0f9.jpg
"Nhân Viên Tư Vấn Chốt Đơn Theo Nguồn Khách Hàng Có Sẵn / Sale Online - Fultime , Quận 12, Thu Nhập Không Giới Hạn Từ 9 Triệu/Tháng",Công ty TNHH Vietnam Concentrix Services,7 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vietnam-concentrix-services-165cf58a545b20487fbc29fae6c1494f-66b1abeb65044.jpg
Nhân Viên Kinh Doanh/ Tư Vấn/ Telesales Phần Mềm - Lương Cứng Upto 9 Triệu (Có Sẵn Data),Công ty CP Khoa học Dữ liệu,Tới 9 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-cp-khoa-hoc-du-lieu-6d670aeb5dbc42e8ce28e856c2eadd89-658cef21cfa49.jpg
Chuyên Viên Pháp Lý (Dự Án Bất Động Sản ),Công ty Cổ Phần Địa Ốc Phú Đông,10 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-dia-oc-phu-dong-b134186cb59bc183252d38a51c5d984b-664c229fde332.jpg
"HOT
Product Owner/ Product Manager - Lương Cứng Từ $1200/ Tháng",Công Ty Cổ Phần Công Nghệ SellerSmith,"1,200 - 1,700 USD",Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/BfcZHs2FN6WyuTQqOb33ng8dganWf9ow_1684895246____a42906a0a2840096a26ef138e91385bc.png
"Nhân Viên Kinh Doanh Phần Mềm Kế Toán (Kênh Đại Lý) - Lương Cứng Từ 10,3 Triệu -15 Triệu. Thu Nhập Upto 30 Triệu/Tháng",Công ty Cổ phần MISA,25 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/YVVFSY05ZUhqjlVHtBl2kOD1a189WFj0_1652947920____d78c5dd2ab820dcbb9a367b40e712067.jpg
"GẤP
Nhân Viên Kinh Doanh Phần Mềm ERP - Thu Nhập Cơ Bản 21.590.000 VND - Từ 1 Năm Kinh Nghiệm - Thanh Xuân, Hà Nội",CÔNG TY CỔ PHẦN PHẦN MỀM BRAVO,12 - 22 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-phan-mem-bravo-8dadae4120e29715d0b27bd3230daa20-6659a32ddbeee.jpg
Nhân Viên Kinh Doanh Phát Triển Thị Trường (B2B) Sàn TMĐT Alibaba (Sale Rep) (Thu Nhập Trung Bình 20 - 50 Triệu/Tháng++),CÔNG TY CỔ PHẦN BPO MẮT BÃO,20 - 50 triệu,Đồng Nai & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-bpo-mat-bao-4fd69face6da8162eb49d3751bb7ee3d-661f9398cca3e.jpg
Nhân Viên Kinh Doanh / Nhân Viên Tư Vấn/ Chăm Sóc Khách Hàng (Thu Nhập 10 Triệu - 15 Triệu),CÔNG TY TNHH XUẤT NHẬP KHẨU CHI HAIR,10 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kJGOoQgMAXZsitTkknwhDNXlPIuKtArf_1709528260____94292489dd4d3d485ff40cd1f7513b28.jpg
Trưởng Nhóm Kinh Doanh/ Sale B2B Leader Linh Kiện Điện Tử Từ 2 Năm Kinh Nghiệm (Lương Từ 15-25 Triệu + Thưởng + Doanh Số),Công Ty Cổ Phần Orizin Việt Nam,15 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-orizin-viet-nam-5f8a6cfe80321.jpg
Nhân Viên Kinh Doanh - Tư Vấn Chốt Đơn Theo Data Có Sẵn (Thu Nhập Từ 7 - 13 Triệu/Tháng++) (Telesale/Chăm Sóc Khách Hàng/CSKH),CÔNG TY CỔ PHẦN BPO MẮT BÃO,7 - 13 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-bpo-mat-bao-4fd69face6da8162eb49d3751bb7ee3d-661f9398cca3e.jpg
"Nhân Viên Xuất Nhập Khẩu Tiếng Trung/ Tiếng Hoa - Bắc Ninh (Thu Nhập 15triệu, Đi Làm Ngay)",Bee Logistics Corporation,12 - 15 triệu,Bắc Ninh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/bee-logistics-corporation-b819f52e4b872de4e0a8ffbc5a664ecb-6686085b950b8.jpg
"HOT
Nhân Viên Telesale/Telemarketing Du Lịch (Tư Vấn Đặt Lịch Hẹn, Hỗ Trợ 100% Data) - Thu Nhập Từ 10 - 30 Triệu + Phụ Cấp",Công ty Cổ phần Vega Holidays,10 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-vega-holidays-4a1a18a2a4b64f5573c12d4f822ead08-651d240a4b907.jpg
"Trưởng Phòng Truyền Thông - Marketing Tại Hà Nội (Lương Cơ Bản 20 - 30 Triệu, Tổng Thu Nhập Upto 50 Triệu)",Công ty Cổ Phần Rich Nguyen Academy,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-rich-nguyen-academy-613b15e6b0d57.jpg
Lập Trình Viên Front - End - 2 Năm Kinh Nghiệm Angular Trở Lên (Thu Nhập 18 Triệu - 35 Triệu) - Đi Làm Ngay Tại Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,18 - 35 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/UtBcv3qwFXoRfddEiXKuncKahYsTxLr8_1683860942____1415486e4681e77d3ef13ad75698b8c2.png
"GẤP
Nhân Viên Kinh Doanh (Tuyển Nữ Tại Hồ Chí Minh, Hà Nội, Đà Nẵng Và Buôn Ma Thuột - Thu Nhập Từ 10 Đến 20 Triệu/Tháng)",CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN PHÚC THIÊN LỘC,10 - 20 triệu,Hà Nội & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-dau-tu-phat-trien-phuc-thien-loc-6332f5a1911bb374b3ad3e6bbec50123-6639a1904bb98.jpg
Nhân Viên Kinh Doanh Xuất Khẩu (Tiếng Anh/Tiếng Trung),Công ty Cổ phần Tập đoàn Hoa Sen,10 - 40 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-tap-doan-hoa-sen-5de5d5e90f342.jpg
Nhân Viên Kinh Doanh (Không Yêu Cầu Kinh Nghiệm) - Thu Nhập 12 Đến 25 Triệu Đồng,Công ty TNHH Anmac Việt Nam,12 - 25 triệu,"Hà Nội, Đà Nẵng",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-anmac-viet-nam-617a058cf1c15.jpg
"HOT
GẤP
Chuyên Viên Kinh Doanh BĐS Bất Động Sản (Lương Cơ Bản 10 Triệu Tại Đà Nẵng, Quảng Bình)",CÔNG TY CỔ PHẦN REGAL GROUP,10 - 15 triệu,"Đà Nẵng, Quảng Bình",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-regal-group-e145f91ef0bd78dc9c6c1e698b3ba750-65e051590ad76.jpg
Nhân Viên Kinh Doanh/Sales/ Nhân Viên Tư Vấn Tuyển Sinh Thu Nhập Tối Thiểu Từ 12.000.000 VNĐ Đến 25.000.000VNĐ,Công Ty Cổ Phần Giáo Dục Jaxtina,15 - 30 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-giao-duc-jaxtina-5c628cd63ae88_rs.jpg
"HOT
Nhân Viên Kinh Doanh / Sale - Lĩnh Vực Tài Chính - Lương Cơ Bản 20 Triệu + Hoa Hồng, Yêu Cầu 2 Năm Kinh Nghiệm Sale",CÔNG TY TNHH PHẦN MỀM DATANOVA,20 - 40 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-phan-mem-datanova-513c8fd1184788391aeeedba550c7944-665991b9ef5a8.jpg
"HOT
Chuyên Viên Kinh Doanh - Thu Nhập Hấp Dẫn - Nghỉ Thứ 7, Chủ Nhật - Tại Hà Nội",CÔNG TY DỊCH VỤ MOBIFONE KHU VỰC 1 - CHI NHÁNH TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,Thoả thuận,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-dich-vu-mobifone-khu-vuc-1-chi-nhanh-tong-cong-ty-vien-thong-mobifone-620397a8e7024.jpg
"HOT
Trưởng Phòng Kinh Doanh Yêu Cầu 2 Năm Kinh Nghiệm Quản Lý (Lương Cứng 20 Đến 25 Triệu + Thưởng. Thu Nhập Từ 30 Đến 60 Triệu/ Tháng)",Công ty TNHH Quảng cáo và Nội thất Hùng Sơn,30 - 60 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-quang-cao-va-noi-that-hung-son-63ddf1343b41d.jpg
Giám Sát Chất Lượng Học Thuật Thu Nhập Từ 16.000.000VNĐ - 22.000.000VNĐ,Công Ty Cổ Phần Giáo Dục Jaxtina,16 - 22 triệu,"Hà Nội, Hồ Chí Minh",https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-giao-duc-jaxtina-5c628cd63ae88_rs.jpg
Lập Trình Viên BackEnd Developer ( Java) ( Thu Nhập 15 Triệu -35 Triệu),CÔNG TY CỔ PHẦN CÔNG NGHỆ AIT,15 - 35 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/UtBcv3qwFXoRfddEiXKuncKahYsTxLr8_1683860942____1415486e4681e77d3ef13ad75698b8c2.png
Nhân Viên CHỨNG TỪ - CSKH Chuyển Phát Nhanh Quốc Tế,CÔNG TY TNHH TOÀN CẦU APAL,7 - 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/0PgCvTEEVsYpVNlPg1PXhUrQl0kphGhq_1708334858____1c3331a1b9680daebe0949ae13c66853.png
Technical Support Engineer (Open For Fresher),Công ty TNHH ITECHWX,18 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/zHPfclI9hYhm39LZ9EwZ95NZkGVwlGaZ_1669174840____ca9a1f2f75e7468edd5d18283011d214.png
"TOP
Nhân Viên Chăm Sóc Khách Hàng - App Giao Hàng - Làm Tại Tân Bình",CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,6.3 - 7.4 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-5961d92dd08ff3673bd213e172710a39-65dd57faac12a.jpg
Trưởng Phòng Kinh Doanh Đi Thị Trường - Lương Cứng 20 - 25 Triệu,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIÊN THỜI,20 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/5ce0d6850477528abe7097d1330f4a66-663c522fb6318.jpg
Giám Thị Học Đường_PTCD HCM,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
"Nhân Viên Điều Dưỡng, Đi Làm Ngay",BỆNH VIỆN ĐA KHOA QUỐC TẾ NAM SÀI GÒN,10 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/benh-vien-da-khoa-quoc-te-nam-sai-gon-63d030a3a8e69092e5a64c9552961b0a-6424fac910c03.jpg
Cán Bộ Hành Chính - Tại Tây Ninh - Thu Nhập Hấp Dẫn,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Tây Ninh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/kpvUt6tWEVPX2B1aUcN3yG99SZCk6hyM_1661790028____acdb04d852c940425e3136343cdb63ee.jpg
Giám Đốc Kinh Doanh/ Sale Director Remote (Thu Nhập Từ 50 - 150 Triệu +++),"Thinksmart Investor CO., LTD",Trên 50 triệu,Miền Nam & 3 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/368ac941e7d6203e0d4184a62cd1a7c0-6621c4997964b.jpg
"TOP
GẤP
Nhân Viên Chăm Sóc Khách Hàng/ Customer Service (Biết Tiếng Anh, Thu Nhập Lên Đến 12 Triệu) - Tại Tân Bình",CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,9.5 - 12 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-transcosmos-viet-nam-5961d92dd08ff3673bd213e172710a39-65dd57faac12a.jpg
Nhân Viên Tư Vấn Tại Văn Phòng - Không Yêu Cầu Kinh Nghiệm (Hà Nội),Công ty TNHH Dịch Vụ BPO Center,7.5 - 15 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/F4JVtdfyrLgLPP2hbI2lEf8q8Ia5WTB2_1713328032____849f6c080ac477ff9f345c6d00ea1ab7.png
Nhân Viên Phòng Kỹ Thuật (Thiết Kế Cơ Khí),"Công ty TNHH XD, cơ khí và thương mại Bình Minh",10 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/wu9B0GWGK1LnfkoM8BcY0chSG8emjPr3_1690253163____62f9e2d29d304ed998556ddb625375d1.jpg
Performance Marketing (Fresher) - Game Industry,SonatGame Studio,Tới 12 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/sonatgame-studio-5ce254d301c98.jpg
Chuyên Viên Kinh Doanh B2B (Công Nghệ/Viễn Thông),Công Ty TNHH MTV Viễn Thông Quốc Tế FPT,10 - 20 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-mtv-vien-thong-quoc-te-fpt-5d898f99a34de.jpg
Nhân Viên Telesales (Lương Cứng 10 Triệu),Công Ty TNHH Tư Vấn Thương Mại IDC,25 - 80 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/y8MegOlBrwDGzgAC4yNcKHbkrXSksIpY_1649353722____852a72f6198579eea667c86a95454174.jpg
Nhân Viên Sale Admin – Trợ Lý Kinh Doanh,Công Ty Cổ Phần Hợp Tác Thành Công,6 - 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-hop-tac-thanh-cong-4a6fa8fd23dca16524bc3e1ce3ba8561-64a63844adead.jpg
"Nhân Viên Kinh Doanh - Mảng Bao Bì, Nhựa [Đà Nẵng] - Thu Nhập Cạnh Tranh, Nhiều Đãi Ngộ Hấp Dẫn",CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN NHỰA BAO BÌ VIỆT PHÁT,Thoả thuận,Đà Nẵng,https://www.topcv.vn/v4/image/normal-company/logo_default.png
"GẤP
E-Commerce Leader (TP. Hồ Chí Minh) Thu Nhập Từ 18 Triệu",CÔNG TY CỔ PHẦN VĂN HOÁ HUY HOÀNG,Trên 18 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-van-hoa-huy-hoang-74b2dbc0a5b9c15e7defd57e3a90e211-6461983252baa.jpg
Nhân Viên Kinh Doanh/ Sales Logistics Thu Nhập Hấp Dẫn Tại Tp.HCM (Bắt Buộc Có 2 Năm Kinh Nghiệm),CÔNG TY TNHH FIRSTHUB LOGISTICS,12 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-firsthub-logistics-e7671a3f3549d4c1e24580861e6faeb0-66aafc25c861d.jpg
"GẤP
Nhân Viên Kinh Doanh Nha Khoa (Thu Nhập Từ 15 -25 Triệu)",CÔNG TY TNHH THIẾT BỊ Y TẾ ĐEN TA,15 - 25 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-thiet-bi-y-te-den-ta-1beba12513ca082c32898651d9178547-64ffc456abc2b.jpg
"GẤP
Nhân Viên Marketing Thương Mại Điện Tử (E-Commerce) Làm Việc Tại Hà Nội",CÔNG TY TNHH 80T,Trên 10 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-tnhh-80t-06eeb5735e2f66fd679f25d3e0d5da20-669741255d2a9.jpg
Giáo Viên Luyện Thi IELTS - Tiếng Anh Học Thuật - Tại Hà Nội - Thu Nhập Hấp Dẫn ( Up To 30M++),Trường Anh ngữ ENVIS School,15 - 30 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/truong-anh-ngu-envis-school-5d4d413409cd6.jpg
"HOT
Nhân Viên Đặt Lịch Hẹn / Telemarketing | Thu Nhập 7 - 15 Triệu (Đi Làm Ngay)",CÔNG TY CỔ PHẦN DU LỊCH VÀ ĐẦU TƯ MELI CLUB,7 - 15 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/3c81140399ca04c8ee7d466cc870d320-660113c1d4b5d.jpg
"Nhân Viên Bán Hàng Tại Showroom, Không Yêu Cầu Kinh Nghiệm, Thu Nhập Upto 15 Triệu",CÔNG TY TNHH MẮT VIỆT GROUP,6 - 15 triệu,Hà Nội & 2 nơi khác,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/pwStZs6XGd6NA0XNlI7scy4mB7iJOmDK_1664783443____2c07f7b7d4c94cccad0c5a7163ce0919.png
Chuyên Viên Pháp Lý Thu Hồi Công Nợ - Thu Nhập Hấp Dẫn,Công ty Cho thuê tài chính TNHH MTV Quốc tế Chailease,Thoả thuận,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-cho-thue-tai-chinh-tnhh-mtv-quoc-te-chailease-5dc39f3d07275.jpg
Chuyên Viên Kinh Doanh (Thu Nhập 15 - 25 Triệu),TRUNG TÂM CNTT MOBIFONE,15 - 25 triệu,Hà Nội,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/gd8tcbcfhiqhmzM6Ax1BYY84aA0u9V1E_1685586621____be0b3ca37117531f26ac08b69c0922c9.png
"HOT
Senior Sales Trainer (Chuyên Viên Đào Tạo) Thu Nhập Từ 25-30 Triệu Tại Hồ Chí Minh",Công ty Cổ phần Giáo dục TalkFirst,25 - 30 triệu,Hồ Chí Minh,https://cdn-new.topcv.vn/unsafe/150x/https://static.topcv.vn/company_logos/cong-ty-co-phan-giao-duc-talkfirst-5acee7d76ffd1_rs.jpg
